Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_5542,2738,3,0,0,0,0,0,4,228,232,0.047,2738,29.785,44.399,0,0.022,0.022,0.022,0.022,4.044E-5,12.260,13.490,11.138,12.152,0.963
Track_5543,2739,4,0,0,0,0,0,6,232,238,0.280,2739,33.115,51.962,0,0.062,0.146,0.016,0.024,0.073,18.363,24.986,13.192,19.132,4.363
Track_5544,2740,3,0,0,0,0,0,4,232,236,0.164,2740,36.389,55.123,0,0.046,0.052,0.040,0.052,0.008,33.342,45.188,22.076,32.763,9.444
Track_5545,2741,3,0,0,0,0,0,4,232,236,0.026,2741,29.837,54.500,0,0.010,0.011,0.009,0.011,0.002,20.232,30.336,12.419,17.942,7.492
Track_5546,2742,2,0,0,0,0,0,2,234,236,0.072,2742,18.454,56.169,0,0.036,0.036,0.036,0.036,NaN,13.589,14.080,13.097,14.080,0.491
Track_5547,2743,4,0,0,0,0,0,6,230,236,0.075,2743,28.450,59.615,0,0.023,0.029,0.020,0.021,0.005,13.129,17.722,10.846,12.903,2.770
Track_5548,2744,2,0,0,0,0,0,2,234,236,0.026,2744,49.570,29.460,0,0.013,0.013,0.013,0.013,NaN,13.538,16.166,10.911,16.166,2.627
Track_5549,2745,4,0,0,0,0,0,6,230,236,0.157,2745,37.379,34.341,0,0.137,0.208,0.079,0.124,0.066,18.815,25.686,10.415,22.772,5.902
Track_5550,2746,3,0,0,0,0,0,4,232,236,0.131,2746,43.677,34.284,0,0.034,0.042,0.025,0.042,0.012,21.113,35.080,13.969,14.291,9.877
Track_5551,2747,3,0,0,0,0,0,4,234,238,0.040,2747,54.293,34.582,0,0.011,0.018,0.005,0.018,0.009,74.524,85.409,56.759,81.402,12.668
Track_5552,2748,3,0,0,0,0,0,4,234,238,0.188,2748,48.732,35.916,0,0.154,0.187,0.121,0.187,0.046,26.826,27.418,25.853,27.206,0.693
Track_5553,2749,5,0,0,0,0,0,8,230,238,0.047,2749,34.689,39.011,0,0.120,0.244,0.005,0.130,0.098,17.881,26.207,12.259,15.378,5.787
Track_5554,2750,3,0,0,0,0,0,4,232,236,0.194,2750,33.547,40.665,0,0.052,0.079,0.024,0.079,0.039,25.309,32.701,14.846,28.379,7.606
Track_5555,2751,5,0,0,0,0,0,8,230,238,0.468,2751,49.643,43.013,0,0.064,0.207,0.001,0.031,0.097,27.474,36.282,15.894,29.965,8.177
Track_5556,2752,4,0,0,0,0,0,6,230,236,0.175,2752,26.543,46.787,0,0.032,0.051,0.014,0.030,0.019,14.650,16.366,12.122,16.335,1.798
Track_5557,2753,3,0,0,0,0,0,4,232,236,0.047,2753,38.446,47.934,0,0.041,0.046,0.035,0.046,0.008,19.250,27.072,10.752,19.926,6.680
Track_5558,2754,2,0,0,0,0,0,2,234,236,0.372,2754,43.569,50.797,0,0.186,0.186,0.186,0.186,NaN,31.710,39.789,23.632,39.789,8.078
Track_5559,2755,3,0,0,0,0,0,4,242,246,0.039,2755,40.653,16.022,0,0.010,0.013,0.006,0.013,0.005,13.171,17.050,11.143,11.321,2.744
Track_5560,2756,3,0,0,0,0,0,4,242,246,0.014,2756,45.039,18.334,0,0.018,0.021,0.016,0.021,0.004,22.472,33.377,13.324,20.714,8.280
Track_5561,2757,2,0,0,0,0,0,2,242,244,0.203,2757,44.709,19.458,0,0.101,0.101,0.101,0.101,NaN,14.216,14.973,13.460,14.973,0.757
Track_5562,2758,30,0,0,0,0,0,58,242,300,0.217,2758,41.013,26.424,0,0.011,0.065,0.001,0.008,0.012,72.753,101.002,17.560,77.329,18.711
Track_5563,2759,12,2,1,0,0,0,26,242,268,0.245,2759,42.716,33.244,0,0.056,0.166,0.007,0.030,0.054,20.610,29.650,12.387,20.029,5.930
Track_5564,2760,47,1,1,2,0,0,58,242,300,0.100,2760,32.235,37.966,0,0.022,0.231,0.002,0.012,0.045,18.170,30.130,10.371,17.738,5.797
Track_5565,2761,4,0,0,0,0,0,6,242,248,0.127,2761,39.572,37.647,0,0.032,0.054,0.017,0.026,0.020,17.848,27.333,10.913,21.601,6.927
Track_5566,2762,30,0,0,0,0,0,58,242,300,0.027,2762,50.927,40.291,0,0.013,0.032,9.148E-4,0.012,0.008,113.650,194.799,20.503,126.851,45.632
Track_5567,2763,30,0,0,0,0,0,58,242,300,0.027,2763,53.707,40.291,0,0.013,0.032,9.146E-4,0.012,0.008,113.650,194.799,20.503,126.851,45.632
Track_5568,2764,23,1,1,0,0,0,46,242,288,0.173,2764,29.403,45.090,0,0.026,0.056,0.006,0.027,0.015,16.225,24.341,11.987,15.363,3.571
Track_5569,2765,4,1,1,0,0,0,8,236,244,0.400,2765,25.990,46.041,0,0.113,0.209,0.048,0.082,0.085,19.160,25.932,13.612,20.700,4.654
Track_5570,2766,30,0,0,0,0,0,58,242,300,0.392,2766,21.073,52.223,0,0.017,0.037,0.005,0.016,0.008,28.268,35.319,11.774,29.619,5.639
Track_5571,2767,2,0,0,0,0,0,2,230,232,0.194,2767,27.525,45.507,0,0.097,0.097,0.097,0.097,NaN,23.080,27.527,18.633,27.527,4.447
Track_5572,2768,2,0,0,0,0,0,2,230,232,0.160,2768,38.215,50.603,0,0.080,0.080,0.080,0.080,NaN,15.467,20.560,10.374,20.560,5.093
Track_5573,2769,2,0,0,0,0,0,2,230,232,0.144,2769,22.115,53.272,0,0.072,0.072,0.072,0.072,NaN,18.379,22.086,14.672,22.086,3.707
Track_5574,2770,2,0,0,0,0,0,2,230,232,0.206,2770,16.213,54.243,0,0.103,0.103,0.103,0.103,NaN,10.433,10.705,10.160,10.705,0.272
Track_5575,2771,3,0,0,0,0,0,4,230,234,0.200,2771,39.341,53.742,0,0.053,0.098,0.008,0.098,0.064,24.412,30.919,16.475,25.842,5.983
Track_5576,2772,2,0,0,0,0,0,2,230,232,0.055,2772,41.481,23.684,0,0.028,0.028,0.028,0.028,NaN,14.581,18.411,10.751,18.411,3.830
Track_5577,2773,2,0,0,0,0,0,2,230,232,0.098,2773,49.774,32.766,0,0.049,0.049,0.049,0.049,NaN,12.296,14.244,10.348,14.244,1.948
Track_5578,2774,2,0,0,0,0,0,2,230,232,0.049,2774,38.484,32.194,0,0.024,0.024,0.024,0.024,NaN,33.023,41.143,24.903,41.143,8.120
Track_5579,2775,3,0,0,0,0,0,4,230,234,0.377,2775,38.111,36.001,0,0.115,0.184,0.046,0.184,0.098,25.345,39.472,11.307,25.257,11.498
Track_5580,2776,2,0,0,0,0,0,2,230,232,0.120,2776,45.498,38.515,0,0.060,0.060,0.060,0.060,NaN,11.347,11.384,11.310,11.384,0.037
Track_5581,2777,3,0,0,0,0,0,4,230,234,0.165,2777,32.260,45.264,0,0.043,0.069,0.018,0.069,0.036,11.863,13.066,10.291,12.230,1.162
Track_5582,2778,2,0,0,0,0,0,2,232,234,0.049,2778,38.172,35.203,0,0.025,0.025,0.025,0.025,NaN,12.393,13.321,11.465,13.321,0.928
Track_5583,2779,2,0,0,0,0,0,2,232,234,0.176,2779,40.743,34.853,0,0.088,0.088,0.088,0.088,NaN,33.145,34.812,31.478,34.812,1.667
Track_5584,2780,2,0,0,0,0,0,2,232,234,0.054,2780,21.483,56.371,0,0.027,0.027,0.027,0.027,NaN,15.616,17.811,13.421,17.811,2.195
